genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
progressive electro house,0.0132,0.847,0.609,125.02,0.654,0.0412,0.0785,0.757
progressive electro house,0.0188,0.616,0.769,120.893,0.591,0.184,0.0716,0.0119
progressive electro house,0.00142,0.772,0.635,127.977,0.382,0.0601,0.0809,0.0667
progressive electro house,0.00012,0.867,0.604,125.013,0.163,0.0335,0.329,0.37
progressive electro house,0.00435,0.696,0.677,128,0.2,0.173,0.402,0.233
progressive electro house,0.0841,0.945,0.75,124.01,0.724,0.0923,0.26,0.0721
electro house,0.0199,0.825,0.669,124.005,0.549,0.0607,0.121,2.13e-05
progressive electro house,0.0199,0.825,0.669,124.005,0.549,0.0607,0.121,2.13e-05
electro house,0.00896,0.87,0.643,124.961,0.194,0.0567,0.0584,3.66e-05
progressive electro house,0.00896,0.87,0.643,124.961,0.194,0.0567,0.0584,3.66e-05
electro house,0.214,0.851,0.425,125.986,0.155,0.0444,0.115,4.09e-06
progressive electro house,0.214,0.851,0.425,125.986,0.155,0.0444,0.115,4.09e-06
electro house,0.0222,0.908,0.607,125.012,0.219,0.0354,0.169,0.0013
progressive electro house,0.0222,0.908,0.607,125.012,0.219,0.0354,0.169,0.0013
electro house,0.0259,0.688,0.707,120.026,0.322,0.0418,0.119,0
progressive electro house,0.0259,0.688,0.707,120.026,0.322,0.0418,0.119,0
electro house,0.0434,0.793,0.446,127.799,0.303,0.0556,0.159,4.14e-05
progressive electro house,0.0434,0.793,0.446,127.799,0.303,0.0556,0.159,4.14e-05
electro house,0.185,0.831,0.621,125.946,0.532,0.038,0.102,0.000925
progressive electro house,0.185,0.831,0.621,125.946,0.532,0.038,0.102,0.000925
electro house,0.0273,0.839,0.776,119.011,0.493,0.0435,0.0826,0.0095
progressive electro house,0.0273,0.839,0.776,119.011,0.493,0.0435,0.0826,0.0095
electro house,0.0653,0.559,0.881,115.998,0.2,0.0755,0.305,0.0266
progressive electro house,0.0653,0.559,0.881,115.998,0.2,0.0755,0.305,0.0266
electro house,0.00672,0.836,0.666,125.996,0.14,0.0329,0.0514,0.069
progressive electro house,0.00672,0.836,0.666,125.996,0.14,0.0329,0.0514,0.069
electro house,0.00772,0.742,0.425,127.978,0.201,0.0386,0.112,0.00077
progressive electro house,0.00772,0.742,0.425,127.978,0.201,0.0386,0.112,0.00077
electro house,0.236,0.632,0.616,132.056,0.625,0.0379,0.104,0.0162
progressive electro house,0.236,0.632,0.616,132.056,0.625,0.0379,0.104,0.0162
electro house,0.414,0.527,0.529,125.969,0.136,0.0343,0.314,0.000577
progressive electro house,0.414,0.527,0.529,125.969,0.136,0.0343,0.314,0.000577
electro house,0.131,0.843,0.631,111.973,0.407,0.0562,0.157,0.000142
progressive electro house,0.131,0.843,0.631,111.973,0.407,0.0562,0.157,0.000142
electro house,0.00536,0.486,0.564,126.023,0.328,0.15,0.0397,0.000557
progressive electro house,0.00536,0.486,0.564,126.023,0.328,0.15,0.0397,0.000557
electro house,0.00775,0.7,0.553,127.021,0.0517,0.0732,0.102,0.92
progressive electro house,0.00775,0.7,0.553,127.021,0.0517,0.0732,0.102,0.92
electro house,0.0321,0.866,0.625,127.996,0.118,0.0493,0.0618,0.591
progressive electro house,0.0321,0.866,0.625,127.996,0.118,0.0493,0.0618,0.591
electro house,0.000474,0.582,0.673,126.004,0.0388,0.0351,0.0684,0.792
progressive electro house,0.000474,0.582,0.673,126.004,0.0388,0.0351,0.0684,0.792
electro house,0.00597,0.955,0.725,128.026,0.776,0.127,0.0963,0.863
progressive electro house,0.00597,0.955,0.725,128.026,0.776,0.127,0.0963,0.863
electro house,0.000112,0.946,0.691,127.001,0.0389,0.066,0.339,0.000751
progressive electro house,0.000112,0.946,0.691,127.001,0.0389,0.066,0.339,0.000751
electro house,0.000121,0.942,0.576,128.037,0.0299,0.0656,0.355,0.931
progressive electro house,0.000121,0.942,0.576,128.037,0.0299,0.0656,0.355,0.931
electro house,0.00556,0.974,0.634,128.015,0.338,0.0792,0.127,0.893
progressive electro house,0.00556,0.974,0.634,128.015,0.338,0.0792,0.127,0.893
electro house,0.00124,0.973,0.644,127.999,0.409,0.0819,0.529,0.394
progressive electro house,0.00124,0.973,0.644,127.999,0.409,0.0819,0.529,0.394
electro house,0.00399,0.788,0.731,130.012,0.158,0.0518,0.0914,0.0113
progressive electro house,0.00399,0.788,0.731,130.012,0.158,0.0518,0.0914,0.0113
electro house,0.00128,0.56,0.62,125.975,0.46,0.0385,0.0673,0.954
progressive electro house,0.00128,0.56,0.62,125.975,0.46,0.0385,0.0673,0.954
electro house,0.0024,0.911,0.674,128.006,0.461,0.0741,0.0615,0.819
progressive electro house,0.0024,0.911,0.674,128.006,0.461,0.0741,0.0615,0.819
electro house,0.000319,0.883,0.649,128.01,0.41,0.0586,0.0735,0.752
progressive electro house,0.000319,0.883,0.649,128.01,0.41,0.0586,0.0735,0.752
electro house,0.0004,0.948,0.757,124.018,0.304,0.122,0.0546,0.459
progressive electro house,0.0004,0.948,0.757,124.018,0.304,0.122,0.0546,0.459
electro house,0.000479,0.955,0.759,128.009,0.131,0.383,0.277,0.613
progressive electro house,0.000479,0.955,0.759,128.009,0.131,0.383,0.277,0.613
electro house,0.000748,0.782,0.699,126.996,0.349,0.0451,0.078,0.855
progressive electro house,0.000748,0.782,0.699,126.996,0.349,0.0451,0.078,0.855
electro house,0.013,0.77,0.647,128.025,0.209,0.0548,0.672,0.049
progressive electro house,0.013,0.77,0.647,128.025,0.209,0.0548,0.672,0.049
electro house,0.00258,0.67,0.738,127.999,0.268,0.0597,0.0541,0.826
progressive electro house,0.00258,0.67,0.738,127.999,0.268,0.0597,0.0541,0.826
electro house,0.0272,0.973,0.845,126.999,0.108,0.0756,0.706,0.785
progressive electro house,0.0272,0.973,0.845,126.999,0.108,0.0756,0.706,0.785
electro house,0.00832,0.877,0.744,120.021,0.259,0.385,0.0529,0.483
progressive electro house,0.00832,0.877,0.744,120.021,0.259,0.385,0.0529,0.483
electro house,0.0109,0.863,0.622,127.989,0.377,0.0532,0.0249,0.76
progressive electro house,0.0109,0.863,0.622,127.989,0.377,0.0532,0.0249,0.76
electro house,7.9e-05,0.952,0.763,126.006,0.0551,0.0441,0.0966,0.916
progressive electro house,7.9e-05,0.952,0.763,126.006,0.0551,0.0441,0.0966,0.916
electro house,0.013,0.941,0.683,127.994,0.216,0.217,0.354,0.0445
progressive electro house,0.013,0.941,0.683,127.994,0.216,0.217,0.354,0.0445
electro house,0.0205,0.874,0.846,128.013,0.0425,0.0468,0.176,0.872
progressive electro house,0.0205,0.874,0.846,128.013,0.0425,0.0468,0.176,0.872
electro house,0.000123,0.885,0.681,127.999,0.46,0.0563,0.0847,0.877
progressive electro house,0.000123,0.885,0.681,127.999,0.46,0.0563,0.0847,0.877
electro house,9.63e-05,0.879,0.731,128.001,0.228,0.0705,0.0501,0.828
progressive electro house,9.63e-05,0.879,0.731,128.001,0.228,0.0705,0.0501,0.828
electro house,0.0251,0.98,0.533,127.983,0.107,0.0529,0.0363,0.877
progressive electro house,0.0251,0.98,0.533,127.983,0.107,0.0529,0.0363,0.877
electro house,5.16e-05,0.934,0.654,128.005,0.236,0.0666,0.0835,0.767
progressive electro house,5.16e-05,0.934,0.654,128.005,0.236,0.0666,0.0835,0.767
electro house,0.000977,0.924,0.589,127.996,0.427,0.0492,0.0483,0.393
progressive electro house,0.000977,0.924,0.589,127.996,0.427,0.0492,0.0483,0.393
electro house,0.00027,0.874,0.548,127.978,0.069,0.0383,0.109,0.715
progressive electro house,0.00027,0.874,0.548,127.978,0.069,0.0383,0.109,0.715
electro house,0.0021,0.548,0.788,128.032,0.368,0.437,0.0559,0.743
progressive electro house,0.0021,0.548,0.788,128.032,0.368,0.437,0.0559,0.743
electro house,0.00334,0.988,0.73,128.021,0.708,0.0842,0.241,0.599
progressive electro house,0.00334,0.988,0.73,128.021,0.708,0.0842,0.241,0.599
