genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
funk metal,0.000283,0.939,0.595,112.095,0.188,0.101,0.285,0.000239
nu metal,0.000283,0.939,0.595,112.095,0.188,0.101,0.285,0.000239
rap metal,0.000283,0.939,0.595,112.095,0.188,0.101,0.285,0.000239
alternative metal,5.69e-05,0.985,0.429,172.092,0.481,0.0726,0.418,0.0275
funk metal,5.69e-05,0.985,0.429,172.092,0.481,0.0726,0.418,0.0275
nu metal,5.69e-05,0.985,0.429,172.092,0.481,0.0726,0.418,0.0275
rap metal,5.69e-05,0.985,0.429,172.092,0.481,0.0726,0.418,0.0275
alternative metal,0.000109,0.963,0.613,101.026,0.34,0.0617,0.201,0.00124
funk metal,0.000109,0.963,0.613,101.026,0.34,0.0617,0.201,0.00124
nu metal,0.000109,0.963,0.613,101.026,0.34,0.0617,0.201,0.00124
rap metal,0.000109,0.963,0.613,101.026,0.34,0.0617,0.201,0.00124
alternative metal,0.000373,0.989,0.54,93.002,0.147,0.193,0.622,0.000667
funk metal,0.000373,0.989,0.54,93.002,0.147,0.193,0.622,0.000667
nu metal,0.000373,0.989,0.54,93.002,0.147,0.193,0.622,0.000667
rap metal,0.000373,0.989,0.54,93.002,0.147,0.193,0.622,0.000667
alternative metal,0.000343,0.928,0.442,175.107,0.205,0.125,0.542,1.23e-05
funk metal,0.000343,0.928,0.442,175.107,0.205,0.125,0.542,1.23e-05
nu metal,0.000343,0.928,0.442,175.107,0.205,0.125,0.542,1.23e-05
rap metal,0.000343,0.928,0.442,175.107,0.205,0.125,0.542,1.23e-05
alternative metal,0.000618,0.966,0.542,90.052,0.134,0.0624,0.0719,0.00238
funk metal,0.000618,0.966,0.542,90.052,0.134,0.0624,0.0719,0.00238
nu metal,0.000618,0.966,0.542,90.052,0.134,0.0624,0.0719,0.00238
rap metal,0.000618,0.966,0.542,90.052,0.134,0.0624,0.0719,0.00238
alternative metal,0.000537,0.831,0.487,152.919,0.407,0.0484,0.106,0.000484
funk metal,0.000537,0.831,0.487,152.919,0.407,0.0484,0.106,0.000484
nu metal,0.000537,0.831,0.487,152.919,0.407,0.0484,0.106,0.000484
rap metal,0.000537,0.831,0.487,152.919,0.407,0.0484,0.106,0.000484
alternative metal,0.000115,0.939,0.526,85.043,0.28,0.104,0.422,0.000123
funk metal,0.000115,0.939,0.526,85.043,0.28,0.104,0.422,0.000123
nu metal,0.000115,0.939,0.526,85.043,0.28,0.104,0.422,0.000123
rap metal,0.000115,0.939,0.526,85.043,0.28,0.104,0.422,0.000123
alternative metal,5.27e-05,0.921,0.552,91.071,0.385,0.0809,0.0825,0.0214
funk metal,5.27e-05,0.921,0.552,91.071,0.385,0.0809,0.0825,0.0214
nu metal,5.27e-05,0.921,0.552,91.071,0.385,0.0809,0.0825,0.0214
rap metal,5.27e-05,0.921,0.552,91.071,0.385,0.0809,0.0825,0.0214
